SOUID,    DATE,   TG, Q_TG
107054,19620727,  157,    0
107054,19620728,  164,    0
107054,19620729,  174,    0
107054,19620730,  156,    0
107054,19620731,  170,    0
107054,19620801,  174,    0
107054,19620802,  174,    0
107054,19620803,  153,    0
107054,19620804,  146,    0
107054,19620805,  154,    0
107054,19620806,  136,    0
107054,19620807,  124,    0
107054,19620808,  133,    0
107054,19620809,  136,    0
107054,19620810,  182,    0
107054,19620811,  169,    0
107054,19620812,  162,    0
107054,19620813,  170,    0
107054,19620814,  142,    0
107054,19620815,  174,    0
107054,19620816,  146,    0
107054,19620817,  162,    0
107054,19620818,  160,    0
107054,19620819,  176,    0
107054,19620820,  193,    0
107054,19620821,  154,    0
107054,19620822,  168,    0
107054,19620823,  142,    0
107054,19620824,  176,    0
107054,19620825,  154,    0
107054,19620826,  148,    0
107054,19620827,  154,    0
107054,19620828,  168,    0
107054,19620829,  163,    0
107054,19620830,  157,    0
107054,19620831,  150,    0
107054,19620901,  154,    0
107054,19620902,  174,    0
107054,19620903,  184,    0
107054,19620904,  164,    0
107054,19620905,  160,    0
107054,19620906,  170,    0
107054,19620907,  145,    0
107054,19620908,  127,    0
107054,19620909,  144,    0
107054,19620910,  142,    0
107054,19620911,  158,    0
107054,19620912,  178,    0
107054,19620913,  134,    0
107054,19620914,  144,    0
107054,19620915,  154,    0
107054,19620916,  116,    0
107054,19620917,   99,    0
107054,19620918,   91,    0
107054,19620919,  116,    0
107054,19620920,  118,    0
107054,19620921,   99,    0
107054,19620922,  120,    0
107054,19620923,  116,    0
107054,19620924,  120,    0
107054,19620925,  150,    0
107054,19620926,  142,    0
107054,19620927,  108,    0
107054,19620928,  128,    0
107054,19620929,  111,    0
107054,19620930,  133,    0
107054,19621001,  154,    0
107054,19621002,  168,    0
107054,19621003,  128,    0
107054,19621004,  108,    0
107054,19621005,  139,    0
107054,19621006,  142,    0
107054,19621007,  156,    0
107054,19621008,  144,    0
107054,19621009,  144,    0
107054,19621010,  148,    0
107054,19621011,  125,    0
107054,19621012,  130,    0
107054,19621013,  102,    0
107054,19621014,   98,    0
107054,19621015,  108,    0
107054,19621016,  102,    0
107054,19621017,  110,    0
107054,19621018,  122,    0
107054,19621019,  100,    0
107054,19621020,  114,    0
107054,19621021,  124,    0
107054,19621022,  112,    0
107054,19621023,   90,    0
107054,19621024,  112,    0
107054,19621025,  132,    0
107054,19621026,  105,    0
107054,19621027,   50,    0
107054,19621028,   64,    0
107054,19621029,   68,    0
107054,19621030,   86,    0
107054,19621031,   62,    0
107054,19621101,   62,    0
107054,19621102,  100,    0
107054,19621103,   96,    0
107054,19621104,   82,    0
107054,19621105,   92,    0
107054,19621106,  114,    0
107054,19621107,   78,    0
107054,19621108,   86,    0
107054,19621109,  106,    0
107054,19621110,  103,    0
107054,19621111,   68,    0
107054,19621112,   58,    0
107054,19621113,   45,    0
107054,19621114,   34,    0
107054,19621115,   41,    0
107054,19621116,   17,    0
107054,19621117,   24,    0
107054,19621118,   40,    0
107054,19621119,   13,    0
107054,19621120,   -1,    0
107054,19621121,   16,    0
107054,19621122,   21,    0
107054,19621123,   41,    0
107054,19621124,   68,    0
107054,19621125,   98,    0
107054,19621126,   78,    0
107054,19621127,   62,    0
107054,19621128,   66,    0
107054,19621129,   68,    0
107054,19621130,   74,    0
107054,19621201,   37,    0
